Region,Availability Zone,Instance Name,Instance ID,Instance Type,Lifecycle,AMI ID,AMI Name
us-west-1,us-west-1b,ip-10-202-205-84.us-west-1.compute.internal,i-026eed4838b960046,c6gd.xlarge,spot,ami-0f5ddea019c71bae7,plivo/amazon-eks-arm64-node-1.31-1736335775-677e619f-4ab8-c75d-7dd6-7edc44f4bdb9
us-west-1,us-west-1b,core-on-demand-x86-64-gpxl,i-0901155561ddc90fa,m4.xlarge,On-demand,ami-09f458f3f29f9e154,plivo/amazon-eks-x86_64-node-1.31-1736335774-677e619e-3f80-dc17-5c2a-5eafba44ef11
us-west-1,us-west-1b,ip-10-202-238-13.us-west-1.compute.internal,i-0c1329bd94e85c4e9,r5n.2xlarge,spot,ami-09f458f3f29f9e154,plivo/amazon-eks-x86_64-node-1.31-1736335774-677e619e-3f80-dc17-5c2a-5eafba44ef11
us-west-1,us-west-1b,ip-10-202-255-49.us-west-1.compute.internal,i-0ead2e108d1c76b4c,r5n.2xlarge,spot,ami-09f458f3f29f9e154,plivo/amazon-eks-x86_64-node-1.31-1736335774-677e619e-3f80-dc17-5c2a-5eafba44ef11
us-west-1,us-west-1b,ip-10-202-215-84.us-west-1.compute.internal,i-0202252dcf6391e85,r5n.2xlarge,spot,ami-09f458f3f29f9e154,plivo/amazon-eks-x86_64-node-1.31-1736335774-677e619e-3f80-dc17-5c2a-5eafba44ef11
us-west-1,us-west-1b,prod-ryuk,i-0330c0343d27170f6,t3.medium,On-demand,ami-04a9300904d02a7fe,bottlerocket-aws-ecs-2-x86_64-v1.24.0-800458c4
us-west-1,us-west-1b,ip-10-202-245-124.us-west-1.compute.internal,i-04328e68c9983e1c6,r5n.2xlarge,spot,ami-09f458f3f29f9e154,plivo/amazon-eks-x86_64-node-1.31-1736335774-677e619e-3f80-dc17-5c2a-5eafba44ef11
us-west-1,us-west-1b,ip-10-202-199-43.us-west-1.compute.internal,i-0a6525c4218d9c4c4,r5n.2xlarge,spot,ami-09f458f3f29f9e154,plivo/amazon-eks-x86_64-node-1.31-1736335774-677e619e-3f80-dc17-5c2a-5eafba44ef11
us-west-1,us-west-1b,ip-10-202-250-223.us-west-1.compute.internal,i-049f67ae2f8efea35,r5n.2xlarge,spot,ami-09f458f3f29f9e154,plivo/amazon-eks-x86_64-node-1.31-1736335774-677e619e-3f80-dc17-5c2a-5eafba44ef11
us-west-1,us-west-1b,ip-10-202-240-189.us-west-1.compute.internal,i-0d86439a6b6f00f5a,r5n.2xlarge,spot,ami-09f458f3f29f9e154,plivo/amazon-eks-x86_64-node-1.31-1736335774-677e619e-3f80-dc17-5c2a-5eafba44ef11
us-west-1,us-west-1b,ip-10-202-232-4.us-west-1.compute.internal,i-083a457233f019d0f,r5n.2xlarge,spot,ami-09f458f3f29f9e154,plivo/amazon-eks-x86_64-node-1.31-1736335774-677e619e-3f80-dc17-5c2a-5eafba44ef11
us-west-1,us-west-1b,ip-10-202-234-246.us-west-1.compute.internal,i-0d2ab47b051527f3d,r5n.2xlarge,spot,ami-09f458f3f29f9e154,plivo/amazon-eks-x86_64-node-1.31-1736335774-677e619e-3f80-dc17-5c2a-5eafba44ef11
us-west-1,us-west-1b,ip-10-202-222-220.us-west-1.compute.internal,i-0ba069d8468239379,r5n.2xlarge,spot,ami-09f458f3f29f9e154,plivo/amazon-eks-x86_64-node-1.31-1736335774-677e619e-3f80-dc17-5c2a-5eafba44ef11
us-west-1,us-west-1b,prod-mms,i-00d4016751f79a1d3,t3.medium,On-demand,ami-04a9300904d02a7fe,bottlerocket-aws-ecs-2-x86_64-v1.24.0-800458c4
us-west-1,us-west-1b,ip-10-202-237-137.us-west-1.compute.internal,i-00f2f435856cce4bd,m6g.2xlarge,On-demand,ami-0f5ddea019c71bae7,plivo/amazon-eks-arm64-node-1.31-1736335775-677e619f-4ab8-c75d-7dd6-7edc44f4bdb9
us-west-1,us-west-1b,ip-10-202-200-92.us-west-1.compute.internal,i-0bdca05997fc6d7d8,m6g.2xlarge,On-demand,ami-0f5ddea019c71bae7,plivo/amazon-eks-arm64-node-1.31-1736335775-677e619f-4ab8-c75d-7dd6-7edc44f4bdb9
